Pais,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Afganistán,2018,0.2981,0.5548,0.4302,0.6542,18.43
Albania,2018,0.9776,0.9851,0.9814,0.9933,0.1
Andorra,2016,1,1,1,1,0
Angola,2014,0.5341,0.7997,0.6603,0.7743,5.24
Antigua y Barbuda,2015,0.9942,0.984,0.9895,,
Arabia Saudita,2017,0.9271,0.971,0.9533,0.993,0.08
Argelia,2018,0.7532,0.8742,0.8141,0.9743,3.66
Argentina,2018,0.9906,0.9894,0.99,0.9951,0
Armenia,2017,0.9968,0.9981,0.9974,0.9985,0
Azerbaiyán,2017,0.9972,0.9986,0.9979,0.9994,0
Bangladés,2018,0.7118,0.7667,0.7391,0.933,0.35
Barbados,2014,0.996,0.996,0.996,0.999,0
Baréin,2018,0.9495,0.9876,0.9746,0.9969,0.09
Belice,1991,0.7033,0.7027,0.703,0.7764,
Benín,2018,0.3107,0.5398,0.4236,0.6095,8.46
Bielorrusia,2018,0.9973,0.9979,0.9976,0.9985,0.03
Birmania - Myanmar,2016,0.7185,0.8001,0.7555,0.8475,-9.84
Bolivia,2015,0.8858,0.9652,0.9246,0.994,0.4
Bosnia y Herzegovina,2013,0.9491,0.9918,0.9699,0.9966,0.2
Botsuana,2014,0.887,0.8674,0.877,0.977,0.24
Brasil,2018,0.9343,0.9301,0.9323,0.992,0.05
Brunéi,2018,0.963,0.9805,0.9721,0.9971,0.34
Bulgaria,2011,0.9798,0.9875,0.9835,0.9787,-0.35
Burkina Faso,2018,0.3269,0.5007,0.4122,0.5829,8.19
Burundi,2017,0.6122,0.763,0.6838,0.8822,8.66
Bután,2017,0.5708,0.7502,0.6656,0.9309,5.77
Cabo Verde,2015,0.8204,0.9169,0.8679,0.9811,-0.02
Camboya,2015,0.7503,0.8653,0.8053,0.9221,2.07
Camerún,2018,0.7159,0.8263,0.7707,0.8508,4.51
Catar,2017,0.9471,0.9314,0.9346,0.9464,-0.82
Chad,2016,0.1396,0.3133,0.2231,0.3079,-7.98
Chile,2017,0.9633,0.9648,0.964,0.9901,-0.35
China,2018,0.9516,0.9847,0.9684,0.9978,0.14
Chipre,2011,0.9812,0.9929,0.9868,0.9982,0.05
Colombia,2018,0.9532,0.9485,0.9509,0.9885,0.18
Comoras,2018,0.5296,0.6464,0.5882,0.7827,6.69
Corea del Norte,2008,1,1,1,1,
Costa de Marfil,2018,0.405,0.5366,0.4717,0.5842,5.4
Costa Rica,2018,0.9792,0.978,0.9786,0.9943,0.3
Croacia,2011,0.9867,0.9963,0.9913,0.9972,0.07
Cuba,2012,0.998,0.9971,0.9975,0.9987,-0.08
Ecuador,2017,0.9209,0.9378,0.9283,0.9926,0.2
Egipto,2017,0.6551,0.765,0.7117,0.8819,-3.83
El Salvador,2018,0.8723,0.911,0.8901,0.9797,-0.01
Emiratos Árabes Unidos,2015,0.951,0.9256,0.9323,0.9943,4.42
Eritrea,2018,0.6895,0.8437,0.7657,0.9327,6.3
Eslovenia,2014,0.996,0.9969,0.997,0.998,0
España,2018,0.9797,0.9893,0.9844,0.9972,0.09
Estado de Palestina,2018,0.9574,0.9866,0.9722,0.9934,-0.05
Estonia,2011,0.9991,0.9986,0.9989,0.9995,0.18
Etiopía,2017,0.4442,0.5924,0.5177,0.7275,17.77
Filipinas,2015,0.9824,0.9812,0.9818,0.9908,0.97
Fiyi,2017,0.9909,0.9908,0.9908,0.9974,0.49
Gabón,2018,0.8342,0.8585,0.8467,0.8978,1.28
Gambia,2015,0.4158,0.6177,0.5078,0.6716,6.38
Georgia,2017,0.9929,0.9944,0.9936,0.9964,-0.06
Ghana,2018,0.7447,0.8352,0.7904,0.9249,6.77
Granada,2014,0.986,0.9858,0.986,0.992,0
Grecia,2018,0.9739,0.9851,0.9794,0.9916,0.35
Guatemala,2014,0.7637,0.8676,0.8129,0.9435,2.5
Guinea,2014,0.2196,0.4364,0.32,0.463,14.89
Guinea Ecuatorial,2014,0.924,0.9729,0.95,0.982,0.23
Guinea-Bisáu,2014,0.3077,0.6216,0.4558,0.604,0.91
Guyana,2014,0.8503,0.8631,0.8564,0.9669,3.59
Haiti,2016,0.583,0.6528,0.6169,0.8299,10.65
Honduras,2018,0.8727,0.8714,0.8721,0.9652,0.39
Hungría,2014,0.991,0.9916,0.991,0.988,-0.57
India,2018,0.6579,0.8237,0.7437,0.9166,5.52
Indonesia,2018,0.9399,0.9733,0.9566,0.9971,0.04
Irak,2017,0.799,0.912,0.856,0.935,2.6
Irán,2016,0.8079,0.9035,0.8554,0.981,0.16
Islas Marshall,2011,0.982,0.9833,0.9827,0.9846,
Islas Salomón,2009,0.69,0.837,0.766,,
Israel,1983,0.8867,0.9496,0.9175,0.9856,
Italia,2018,0.9897,0.9935,0.9916,0.9993,0.07
Jamaica,2014,0.927,0.8344,0.881,0.963,4.7
Jordania,2018,0.9783,0.9861,0.9823,0.9934,0.24
Kazajistán,2018,0.9974,0.9983,0.9978,0.999,0
Kenia,2018,0.7819,0.8499,0.8153,0.8783,1.3
Kirguistán,2018,0.995,0.9968,0.9959,0.9975,0
Kuwait,2018,0.9491,0.9667,0.9606,0.9908,-0.16
Laos,2015,0.7939,0.8996,0.8466,0.9246,20.41
Lesoto,2014,0.8493,0.6775,0.7664,0.8663,3.44
Letonia,2018,0.9991,0.9987,0.9989,0.9982,-0.02
Líbano,2018,0.9331,0.9685,0.9507,0.9975,0.51
Liberia,2017,0.3409,0.627,0.483,0.554,6.32
Libia,2004,0.778,0.9385,0.861,0.996,1.7
Lituania,2011,0.9983,0.9979,0.9982,0.9986,0.15
Macedonia del Norte,2014,0.967,0.9881,0.978,0.986,-0.14
Madagascar,2018,0.7238,0.7728,0.748,0.812,4.37
Malasia,2018,0.935,0.9612,0.9485,0.9685,-0.42
Malaui,2015,0.552,0.6975,0.6214,0.7294,-3.15
Maldivas,2016,0.9811,0.973,0.9773,0.9875,-0.51
Malí,2018,0.2574,0.4618,0.3547,0.5013,0.77
Malta,2018,0.9599,0.9301,0.945,0.993,0.42
Marruecos,2018,0.6459,0.833,0.7375,0.9773,6.51
Mauricio,2018,0.8937,0.9336,0.9133,0.9904,0.91
Mauritania,2017,0.4335,0.6375,0.535,0.6395,7.83
México,2018,0.9461,0.9623,0.9538,0.9932,0.19
Moldavia,2014,0.9914,0.996,0.9936,0.9981,0.35
Mongolia,2018,0.9865,0.9819,0.9842,0.9863,0.17
Montenegro,2018,0.9827,0.9945,0.9885,0.9911,-0.1
Mozambique,2017,0.503,0.726,0.6066,0.7091,0.39
Namibia,2018,0.9144,0.9163,0.9153,0.9516,0.75
Nepal,2018,0.5972,0.7859,0.6791,0.9239,7.64
Nicaragua,2015,0.8278,0.8244,0.8261,0.9157,4.56
Níger,2012,0.2255,0.3906,0.3056,0.3979,3.24
Nigeria,2018,0.5266,0.7126,0.6202,0.7503,8.65
Omán,2018,0.9269,0.9699,0.9565,0.9862,-0.04
Pakistán,2017,0.4647,0.7112,0.5913,0.7453,1.73
Palaos,2015,0.9634,0.9681,0.9659,0.9866,-1.17
Panamá,2018,0.9488,0.9597,0.9541,0.991,1.46
Papúa Nueva Guinea,2010,0.579,0.6529,0.616,0.679,1.22
Paraguay,2018,0.9353,0.9451,0.9402,0.9828,-0.17
Perú,2018,0.917,0.9712,0.9441,0.9902,-0.03
Polonia,2008,0.9825,0.9928,0.9874,0.998,0
Portugal,2018,0.9507,0.9735,0.9614,0.9966,0.23
República Centroafricana,2018,0.2576,0.4951,0.374,0.3827,1.91
República del Congo,2018,0.7462,0.8608,0.803,0.8205,1.14
República Democrática del Congo,2016,0.665,0.8852,0.7704,0.8499,1.39
República Dominicana,2016,0.9376,0.9379,0.9378,0.9884,1.23
Ruanda,2018,0.6939,0.7756,0.7322,0.8649,1.43
Rumanía,2018,0.986,0.9911,0.9884,0.9943,0.43
Rusia,2018,0.9973,0.9973,0.9973,0.997,-0.01
Samoa,2018,0.9925,0.9896,0.991,0.9912,-0.11
San Marino,2018,0.999,0.9993,0.9992,1,
San Vicente y las Granadinas,1970,0.955,0.958,0.9563,0.9796,
Santo Tomé y Príncipe,2018,0.8952,0.9616,0.9282,0.9778,1.04
Senegal,2017,0.398,0.6481,0.519,0.6948,13.58
Serbia,2016,0.9823,0.995,0.9884,0.9972,0.41
Seychelles,2018,0.9635,0.9541,0.9587,0.9907,0.1
Sierra Leona,2018,0.3485,0.5165,0.4321,0.6665,9.63
Singapur,2018,0.9592,0.9885,0.9734,0.9993,0
Siria,2004,0.7363,0.8776,0.8084,0.9245,-2.74
Somalia,1972,0.0369,0.072,0.054,0.1314,
Sri Lanka,2018,0.908,0.9277,0.9171,0.9878,-0.07
Suazilandia,2018,0.8854,0.8829,0.8842,0.9547,1.97
Sudáfrica,2017,0.8646,0.8768,0.8705,0.9532,-3.63
Sudán,2018,0.5606,0.6544,0.607,0.73,7.19
Sudán del Sur,2018,0.2886,0.4026,0.3452,0.479,11.2
Surinam,2018,0.9271,0.9607,0.9438,0.9865,0.98
Tailandia,2018,0.9243,0.952,0.9377,0.9814,-0.01
Tanzania,2015,0.7309,0.832,0.7789,0.8576,-0.18
Tayikistán,2014,0.997,0.9982,0.998,0.999,0.05
Timor Oriental,2018,0.6421,0.7187,0.6807,0.8354,4.01
Togo,2015,0.5124,0.7726,0.6375,0.8429,4.4
Tonga,2018,0.9948,0.9935,0.9941,0.9944,0
