Pais,Operacion,Fuente,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Afghanistan,OK,,2018,0.298,0.555,0.430,0.654,18.43
Albania,OK,,2018,0.978,0.985,0.981,0.993,0.10
Algeria,OK,,2018,0.753,0.874,0.814,0.974,3.66
Andorra,IGNORAR,,2016,1.000,1.000,1.000,1.000,0.00
Angola,OK,,2014,0.534,0.800,0.660,0.774,5.24
Antigua and Barbuda,IGNORAR,,2015,0.994,0.984,0.990,0.990,0.00
Argentina,OK,,2018,0.991,0.989,0.990,0.995,0.00
Armenia,OK,,2017,0.997,0.998,0.997,0.999,0.00
Australia,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Austria,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Azerbaijan,OK,,2017,0.997,0.999,0.998,0.999,0.00
Bahrain,OK,,2018,0.950,0.988,0.975,0.997,0.09
Bangladesh,OK,,2018,0.712,0.767,0.739,0.933,0.35
Barbados,IGNORAR,,2014,0.996,0.996,0.996,0.999,0.00
Belarus,OK,,2018,0.997,0.998,0.998,0.999,0.03
Belgium,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Belize,IGNORAR,,1991,0.703,0.703,0.703,0.776,0.00
Benin,OK,,2018,0.311,0.540,0.424,0.610,8.46
Bhutan,OK,,2017,0.571,0.750,0.666,0.931,5.77
Bolivia,OK,,2015,0.886,0.965,0.925,0.994,0.40
Bosnia and Herzegovina,OK,,2013,0.949,0.992,0.970,0.997,0.20
Botswana,OK,,2014,0.887,0.867,0.877,0.977,0.24
Brazil,OK,,2018,0.934,0.930,0.932,0.992,0.05
Brunei,IGNORAR,,2018,0.963,0.981,0.972,0.997,0.34
Bulgaria,OK,,2011,0.980,0.988,0.984,0.979,-0.35
Burkina Faso,OK,,2018,0.327,0.501,0.412,0.583,8.19
Burundi,OK,,2017,0.612,0.763,0.684,0.882,8.66
Cabo Verde,IGNORAR,,2015,0.820,0.917,0.868,0.981,-0.02
Cambodia,OK,,2015,0.750,0.865,0.805,0.922,2.07
Cameroon,OK,,2018,0.716,0.826,0.771,0.851,4.51
Central African Republic,OK,,2018,0.258,0.495,0.374,0.383,1.91
Chad,OK,,2016,0.140,0.313,0.223,0.308,-7.98
Chile,OK,,2017,0.963,0.965,0.964,0.990,-0.35
China,OK,,2018,0.952,0.985,0.968,0.998,0.14
Colombia,OK,,2018,0.953,0.949,0.951,0.989,0.18
Comoros,OK,,2018,0.530,0.646,0.588,0.783,6.69
Congo (Brazzaville),OK,,2018,0.746,0.861,0.803,0.821,1.14
Congo (Kinshasa),OK,,2016,0.665,0.885,0.770,0.850,1.39
Costa Rica,OK,,2018,0.979,0.978,0.979,0.994,0.30
Croatia,OK,,2011,0.987,0.996,0.991,0.997,0.07
Cuba,IGNORAR,,2012,0.998,0.997,0.998,0.999,-0.08
Cyprus,OK,,2011,0.981,0.993,0.987,0.998,0.05
Czech Republic,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Denmark,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Djibouti,OK,*1,2010,0.990,0.990,0.703,0.990,0.00
Dominican Republic,OK,,2016,0.938,0.938,0.938,0.988,1.23
Ecuador,OK,,2017,0.921,0.938,0.928,0.993,0.20
Egypt,OK,,2017,0.655,0.765,0.712,0.882,-3.83
El Salvador,OK,,2018,0.872,0.911,0.890,0.980,-0.01
Eritrea,IGNORAR,,2018,0.690,0.844,0.766,0.933,6.30
Estonia,OK,,2011,0.999,0.999,0.999,1.000,0.18
Ethiopia,OK,,2017,0.444,0.592,0.518,0.728,17.77
Finland,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Fiyi,IGNORAR,,2017,0.991,0.991,0.991,0.997,0.49
France,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Gabon,OK,,2018,0.834,0.859,0.847,0.898,1.28
Gambia,IGNORAR,,2015,0.416,0.618,0.508,0.672,6.38
Georgia,OK,,2017,0.993,0.994,0.994,0.996,-0.06
Germany,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Ghana,OK,,2018,0.745,0.835,0.790,0.925,6.77
Granada,IGNORAR,,2014,0.986,0.986,0.986,0.992,0.00
Greece,OK,,2018,0.974,0.985,0.979,0.992,0.35
Guatemala,OK,,2014,0.764,0.868,0.813,0.944,2.50
Guinea,OK,,2014,0.220,0.436,0.320,0.463,14.89
Guinea,OK,,2014,0.924,0.973,0.950,0.982,0.23
Guinea-Bisáu,IGNORAR,,2014,0.308,0.622,0.456,0.604,0.91
Guyana,IGNORAR,,2014,0.850,0.863,0.856,0.967,3.59
Haiti,OK,,2016,0.583,0.653,0.617,0.830,10.65
Honduras,OK,,2018,0.873,0.871,0.872,0.965,0.39
Hong Kong,OK,*1,2010,0.946,0.946,0.946,0.946,0.00
Hungary,OK,,2014,0.991,0.992,0.991,0.988,-0.57
India,OK,,2018,0.658,0.824,0.744,0.917,5.52
Indonesia,OK,,2018,0.940,0.973,0.957,0.997,0.04
Irán,OK,,2016,0.808,0.904,0.855,0.981,0.16
Iraq,OK,,2017,0.799,0.912,0.856,0.935,2.60
Ireland,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Islas Marshall,IGNORAR,,2011,0.982,0.983,0.983,0.985,0.00
Islas Salomón,IGNORAR,,2009,0.690,0.837,0.766,0.766,0.00
Israel,OK,,1983,0.887,0.950,0.918,0.986,0.00
Italy,OK,,2018,0.990,0.994,0.992,0.999,0.07
Ivory Coast,OK,,2018,0.405,0.537,0.472,0.584,5.40
Jamaica,OK,,2014,0.927,0.834,0.881,0.963,4.70
Japan,OK,*1,0.99,0.990,0.990,0.990,0.990,0.00
Jordan,OK,,2018,0.978,0.986,0.982,0.993,0.24
Kazakhstan,OK,,2018,0.997,0.998,0.998,0.999,0.00
Kenya,OK,,2018,0.782,0.850,0.815,0.878,1.30
Kosovo,FALTA,,,,,,,
Kuwait,OK,,2018,0.949,0.967,0.961,0.991,-0.16
Kyrgyzstan,OK,,2018,0.995,0.997,0.996,0.998,0.00
Laos,OK,,2015,0.794,0.900,0.847,0.925,20.41
Latvia,OK,*2,2015,0.999,0.999,0.999,0.999,0.00
Lebanon,OK,,2018,0.933,0.969,0.951,0.998,0.51
Lesotho,OK,,2014,0.849,0.678,0.766,0.866,3.44
Letonia,IGNORAR,,2018,0.999,0.999,0.999,0.998,-0.02
Liberia,OK,,2017,0.341,0.627,0.483,0.554,6.32
Libya,OK,,2004,0.778,0.939,0.861,0.996,1.70
Lithuania,OK,,2011,0.998,0.998,0.998,0.999,0.15
Macedonia,OK,,2014,0.967,0.988,0.978,0.986,-0.14
Madagascar,OK,,2018,0.724,0.773,0.748,0.812,4.37
Malawi,OK,,2015,0.552,0.698,0.621,0.729,-3.15
Malaysia,OK,,2018,0.935,0.961,0.949,0.969,-0.42
Maldivas,IGNORAR,,2016,0.981,0.973,0.977,0.988,-0.51
Mali,OK,,2018,0.257,0.462,0.355,0.501,0.77
Malta,OK,,2018,0.960,0.930,0.945,0.993,0.42
Mauritania,OK,,2017,0.434,0.638,0.535,0.640,7.83
Mauritius,OK,,2018,0.894,0.934,0.913,0.990,0.91
Mexico,OK,,2018,0.946,0.962,0.954,0.993,0.19
Moldova,OK,,2014,0.991,0.996,0.994,0.998,0.35
Mongolia,OK,,2018,0.987,0.982,0.984,0.986,0.17
Montenegro,OK,,2018,0.983,0.995,0.989,0.991,-0.10
Morocco,OK,,2018,0.646,0.833,0.738,0.977,6.51
Mozambique,OK,,2017,0.503,0.726,0.607,0.709,0.39
Myanmar,OK,,2016,0.719,0.800,0.756,0.848,-9.84
Namibia,OK,,2018,0.914,0.916,0.915,0.952,0.75
Nepal,OK,,2018,0.597,0.786,0.679,0.924,7.64
Netherlands,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
New Zealand,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Nicaragua,OK,,2015,0.828,0.824,0.826,0.916,4.56
Niger,OK,,2012,0.226,0.391,0.306,0.398,3.24
Nigeria,OK,,2018,0.527,0.713,0.620,0.750,8.65
North Cyprus,FALTA,,,,,,,
North Korea,IGNORAR,,2008,1.000,1.000,1.000,1.000,0.00
Norway,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Oman,OK,,2018,0.927,0.970,0.957,0.986,-0.04
Pakistan,OK,,2017,0.465,0.711,0.591,0.745,1.73
Palaos,IGNORAR,,2015,0.963,0.968,0.966,0.987,-1.17
Palestinian Territories,OK,,2018,0.957,0.987,0.972,0.993,-0.05
Panama,OK,,2018,0.949,0.960,0.954,0.991,1.46
Papúa Nueva Guinea,IGNORAR,,2010,0.579,0.653,0.616,0.679,1.22
Paraguay,OK,,2018,0.935,0.945,0.940,0.983,-0.17
Peru,OK,,2018,0.917,0.971,0.944,0.990,-0.03
Philippines,OK,,2015,0.982,0.981,0.982,0.991,0.97
Poland,OK,,2008,0.983,0.993,0.987,0.998,0.00
Portugal,OK,,2018,0.951,0.974,0.961,0.997,0.23
Qatar,OK,,2017,0.947,0.931,0.935,0.946,-0.82
Romania,OK,,2018,0.986,0.991,0.988,0.994,0.43
Russia,OK,,2018,0.997,0.997,0.997,0.997,-0.01
Rwanda,OK,,2018,0.694,0.776,0.732,0.865,1.43
Samoa,IGNORAR,,2018,0.993,0.990,0.991,0.991,-0.11
San Marino,IGNORAR,,2018,0.999,0.999,0.999,1.000,0.00
San Vicente y las Granadinas,IGNORAR,,1970,0.955,0.958,0.956,0.980,0.00
Santo Tomé y Príncipe,IGNORAR,,2018,0.895,0.962,0.928,0.978,1.04
Saudi Arabia,OK,,2017,0.927,0.971,0.953,0.993,0.08
Senegal,OK,,2017,0.398,0.648,0.519,0.695,13.58
Serbia,OK,,2016,0.982,0.995,0.988,0.997,0.41
Seychelles,IGNORAR,,2018,0.964,0.954,0.959,0.991,0.10
Sierra Leona,OK,,2018,0.349,0.517,0.432,0.667,9.63
Singapore,OK,,2018,0.959,0.989,0.973,0.999,0.00
Slovakia,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Slovenia,OK,,2014,0.996,0.997,0.997,0.998,0.00
Somalia,IGNORAR,,1972,0.037,0.072,0.054,0.131,0.00
Somaliland region,FALTA,,,,,,,
South Africa,OK,,2017,0.865,0.877,0.871,0.953,-3.63
South Korea,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Spain,OK,,2018,0.980,0.989,0.984,0.997,0.09
Sri Lanka,OK,,2018,0.908,0.928,0.917,0.988,-0.07
Sudan,OK,,2018,0.561,0.654,0.607,0.730,7.19
Sudán del Sur,OK,,2018,0.289,0.403,0.345,0.479,11.20
Suriname,OK,,2018,0.927,0.961,0.944,0.987,0.98
Swaziland,OK,,2018,0.885,0.883,0.884,0.955,1.97
Sweden,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Switzerland,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Syria,OK,,2004,0.736,0.878,0.808,0.925,-2.74
Taiwan,FALTA,,,,,,,
Tajikistan,OK,,2014,0.997,0.998,0.998,0.999,0.05
Tanzania,OK,,2015,0.731,0.832,0.779,0.858,-0.18
Thailand,OK,,2018,0.924,0.952,0.938,0.981,-0.01
Timor Oriental,IGNORAR,,2018,0.642,0.719,0.681,0.835,4.01
Togo,OK,,2015,0.512,0.773,0.638,0.843,4.40
Tonga,IGNORAR,,2018,0.995,0.994,0.994,0.994,0.00
Trinidad and Tobago,OK,,2010,0.983,0.991,0.987,0.996,0.20
Tunisia,OK,,2014,0.722,0.861,0.790,0.962,-0.66
Turkey,OK,,2017,0.935,0.988,0.962,0.998,0.13
Turkmenistan,OK,,2014,0.996,0.998,0.997,0.998,-0.01
Uganda,OK,,2018,0.708,0.827,0.765,0.894,5.74
Ukraine,OK,,2012,1.000,1.000,1.000,1.000,0.16
United Arab Emirates,OK,,2015,0.951,0.926,0.932,0.994,4.42
United Kingdom,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
United States,OK,*1,2010,0.990,0.990,0.990,0.990,0.00
Uruguay,OK,,2018,0.990,0.984,0.987,0.989,-0.05
Uzbekistan,OK,,2018,1.000,1.000,1.000,1.000,0.00
