Pais,Operacion,Fuente,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Afghanistan,OK,A,2018,0.2981,0.5548,0.4302,0.6542,18.43
Albania,OK,A,2018,0.9776,0.9851,0.9814,0.9933,0.1
Algeria,OK,A,2018,0.7532,0.8742,0.8141,0.9743,3.66
Andorra,IGNORAR,A,2016,1,1,1,1,0
Angola,OK,A,2014,0.5341,0.7997,0.6603,0.7743,5.24
Antigua and Barbuda,IGNORAR,A,2015,0.9942,0.984,0.9895,0.9895,0
Argentina,OK,A,2018,0.9906,0.9894,0.99,0.9951,0
Armenia,OK,A,2017,0.9968,0.9981,0.9974,0.9985,0
Australia,OK,B,2010,0.99,0.99,0.99,0.99,0
Austria,OK,B,2010,0.99,0.99,0.99,0.99,0
Azerbaijan,OK,A,2017,0.9972,0.9986,0.9979,0.9994,0
Bahrain,OK,A,2018,0.9495,0.9876,0.9746,0.9969,0.09
Bangladesh,OK,A,2018,0.7118,0.7667,0.7391,0.933,0.35
Barbados,IGNORAR,A,2014,0.996,0.996,0.996,0.999,0
Belarus,OK,A,2018,0.9973,0.9979,0.9976,0.9985,0.03
Belgium,OK,B,2010,0.99,0.99,0.99,0.99,0
Belize,IGNORAR,A,1991,0.7033,0.7027,0.703,0.7764,0
Benin,OK,A,2018,0.3107,0.5398,0.4236,0.6095,8.46
Bhutan,OK,A,2017,0.5708,0.7502,0.6656,0.9309,5.77
Bolivia,OK,A,2015,0.8858,0.9652,0.9246,0.994,0.4
Bosnia and Herzegovina,OK,A,2013,0.9491,0.9918,0.9699,0.9966,0.2
Botswana,OK,A,2014,0.887,0.8674,0.877,0.977,0.24
Brazil,OK,A,2018,0.9343,0.9301,0.9323,0.992,0.05
Brunei,IGNORAR,A,2018,0.963,0.9805,0.9721,0.9971,0.34
Bulgaria,OK,A,2011,0.9798,0.9875,0.9835,0.9787,-0.35
Burkina Faso,OK,A,2018,0.3269,0.5007,0.4122,0.5829,8.19
Burundi,OK,A,2017,0.6122,0.763,0.6838,0.8822,8.66
Cabo Verde,IGNORAR,A,2015,0.8204,0.9169,0.8679,0.9811,-0.02
Cambodia,OK,A,2015,0.7503,0.8653,0.8053,0.9221,2.07
Cameroon,OK,A,2018,0.7159,0.8263,0.7707,0.8508,4.51
Canada,OK,B,2010,0.99,0.99,0.99,0.99,0
Central African Republic,OK,A,2018,0.2576,0.4951,0.374,0.3827,1.91
Chad,OK,A,2016,0.1396,0.3133,0.2231,0.3079,-7.98
Chile,OK,A,2017,0.9633,0.9648,0.964,0.9901,-0.35
China,OK,A,2018,0.9516,0.9847,0.9684,0.9978,0.14
Colombia,OK,A,2018,0.9532,0.9485,0.9509,0.9885,0.18
Comoros,OK,A,2018,0.5296,0.6464,0.5882,0.7827,6.69
Congo (Brazzaville),OK,A,2018,0.7462,0.8608,0.803,0.8205,1.14
Congo (Kinshasa),OK,A,2016,0.665,0.8852,0.7704,0.8499,1.39
Costa Rica,OK,A,2018,0.9792,0.978,0.9786,0.9943,0.3
Croatia,OK,A,2011,0.9867,0.9963,0.9913,0.9972,0.07
Cuba,IGNORAR,A,2012,0.998,0.9971,0.9975,0.9987,-0.08
Cyprus,OK,A,2011,0.9812,0.9929,0.9868,0.9982,0.05
Czech Republic,OK,B,2010,0.99,0.99,0.99,0.99,0
Denmark,OK,B,2010,0.99,0.99,0.99,0.99,0
Djibouti,OK,B,2010,0.99,0.99,0.703,0.99,0
Dominican Republic,OK,A,2016,0.9376,0.9379,0.9378,0.9884,1.23
