Pais,Operacion,Fuente,Anio,Adultos,Mujeres,Hombres,Jovenes,Variacion
Somalia,IGNORAR,A,1972,0.054,0.037,0.072,0.131,0
Chad,OK,A,2016,0.223,0.14,0.313,0.308,-7.98
Niger,OK,A,2012,0.306,0.226,0.391,0.398,3.24
Guinea,OK,A,2014,0.32,0.22,0.436,0.463,14.89
Sudan del Sur,IGNORAR,A,2018,0.345,0.289,0.403,0.479,11.2
Mali,OK,A,2018,0.355,0.257,0.462,0.501,0.77
Central African Republic,OK,A,2018,0.374,0.258,0.495,0.383,1.91
Burkina Faso,OK,A,2018,0.412,0.327,0.501,0.583,8.19
Benin,OK,A,2018,0.424,0.311,0.54,0.61,8.46
Afghanistan,OK,A,2018,0.43,0.298,0.555,0.654,18.43
Sierra Leone,OK,A,2018,0.432,0.349,0.517,0.667,9.63
Guinea-Bisau,IGNORAR,A,2014,0.456,0.308,0.622,0.604,0.91
Ivory Coast,OK,A,2018,0.472,0.405,0.537,0.584,5.4
Liberia,OK,A,2017,0.483,0.341,0.627,0.554,6.32
Gambia,IGNORAR,A,2015,0.508,0.416,0.618,0.672,6.38
Ethiopia,OK,A,2017,0.518,0.444,0.592,0.728,17.77
Senegal,OK,A,2017,0.519,0.398,0.648,0.695,13.58
Mauritania,OK,A,2017,0.535,0.434,0.638,0.64,7.83
Yemen,OK,A,2004,0.541,0.35,0.732,0.77,16.78
Comoros,OK,A,2018,0.588,0.53,0.646,0.783,6.69
Pakistan,OK,A,2017,0.591,0.465,0.711,0.745,1.73
Mozambique,OK,A,2017,0.607,0.503,0.726,0.709,0.39
Sudan,OK,A,2018,0.607,0.561,0.654,0.73,7.19
Papua Nueva Guinea,IGNORAR,A,2010,0.616,0.579,0.653,0.679,1.22
Haiti,OK,A,2016,0.617,0.583,0.653,0.83,10.65
Nigeria,OK,A,2018,0.62,0.527,0.713,0.75,8.65
Malawi,OK,A,2015,0.621,0.552,0.698,0.729,-3.15
Togo,OK,A,2015,0.638,0.512,0.773,0.843,4.4
Angola,OK,A,2014,0.66,0.534,0.8,0.774,5.24
Bhutan,OK,A,2017,0.666,0.571,0.75,0.931,5.77
Nepal,OK,A,2018,0.679,0.597,0.786,0.924,7.64
Timor Oriental,IGNORAR,A,2018,0.681,0.642,0.719,0.835,4.01
Burundi,OK,A,2017,0.684,0.612,0.763,0.882,8.66
Belize,IGNORAR,A,1991,0.703,0.703,0.703,0.776,0
Djibouti,OK,B,2010,0.703,0.99,0.99,0.99,0
